room,name,date,current,previous,rate,dueDate,waterCurrent,waterPrevious,waterRate,rent,size
201,นางสาวสุนิสา แก้วตา,25/12/2024,8901,8500,4.5,31/12/2024,890,850,15.5,4500,25 ตร.ม.
202,นายประยุทธ สมบูรณ์,25/12/2024,12345,11800,4.5,31/12/2024,1234,1180,15.5,5200,32 ตร.ม.
203,นางสมศรี ใจดี,25/12/2024,15678,15200,4.5,31/12/2024,1567,1520,15.5,5800,38 ตร.ม.
204,นายวิทยา มั่นคง,25/12/2024,18901,18500,4.5,31/12/2024,1890,1850,15.5,6200,42 ตร.ม.
205,นางสาวรัตนา สุขใจ,25/12/2024,22134,21800,4.5,31/12/2024,2213,2180,15.5,6800,48 ตร.ม.
301,นายสมชาย รักดี,25/12/2024,25367,25000,4.5,31/12/2024,2536,2500,15.5,7200,52 ตร.ม.
302,นางสมหญิง มั่นคง,25/12/2024,28600,28200,4.5,31/12/2024,2860,2820,15.5,7500,55 ตร.ม.
303,นายสมศักดิ์ ใจเย็น,25/12/2024,31833,31500,4.5,31/12/2024,3183,3150,15.5,7800,58 ตร.ม.
304,นางสมปอง สุขุม,25/12/2024,35066,34800,4.5,31/12/2024,3506,3480,15.5,8200,62 ตร.ม.
305,นายสมพร ดีงาม,25/12/2024,38299,38100,4.5,31/12/2024,3829,3810,15.5,8500,65 ตร.ม. 
